nr;gemeente;provincie;status;realisatie jaar;type;vermogen;(aan)deel groter windpark;;;;;;;;;;;;;;;;;
7;Leek;Groningen;gepland;2019;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
8;Midden Groningen;Groningen;gepland;2019;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
9;Zuidwolde;Drenthe;voorbereiding;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
10;Menterwolde;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
11;Steendam;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
12;Eemsmond;Groningen;voorbereiding      ;2021;lokale coöperatie;30;;;;;;;;;;;;;;;;;;
13;Groningen;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
14;de Marne;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
15;Groningen;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
16;Pekela;Groningen;voorbereiding      ;2021;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
17;Winsum;Groningen;oriëntatie             ;2020;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
