ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
5959;GM0293;2015JJ00;784;243;3;0;2;287;;
5967;GM0726;2015JJ00;;;;;;;;
5975;GM1783;2015JJ00;9074;1047;69;15;54;4821;;735
5983;GM0098;2015JJ00;22845;460;42;14;13;18234;;
5991;GM0614;2015JJ00;9748;267;6;6;4;2905;;3906
5999;GM0189;2015JJ00;9539;392;18;4;6;7232;;
6007;GM0462;2015JJ00;;;;;;;;
6015;GM0463;2015JJ00;;;;;;;;
6023;GM0296;2015JJ00;6956;658;19;24;24;4368;;
6031;GM1696;2015JJ00;7636;345;13;35;11;2685;;
6039;GM0190;2015JJ00;;;;;;;;
6047;GM0135;2015JJ00;;;;;;;;
6055;GM0352;2015JJ00;5025;299;11;7;2;3673;;
6063;GM0872;2015JJ00;;;;;;;;
6071;GM0052;2015JJ00;;;;;;;;
6079;GM0053;2015JJ00;10253;294;10;7;13;9366;;
6087;GM0294;2015JJ00;13882;430;36;24;32;10401;;
6095;GM0295;2015JJ00;;;;;;;;
6103;GM0990;2015JJ00;;;;;;;;
6111;GM0873;2015JJ00;9197;457;12;135;8;4246;;
6119;GM0632;2015JJ00;9292;612;27;11;42;7192;;
6127;GM0466;2015JJ00;;;;;;;;
6135;GM1690;2015JJ00;22635;477;7;3;13;18516;;
6143;GM0880;2015JJ00;4518;212;4;14;1;3239;;
6151;GM0351;2015JJ00;3682;169;9;5;2;2288;;
6159;GM0874;2015JJ00;5170;263;9;7;9;4047;;
6167;GM0875;2015JJ00;;;;;;;;
6175;GM0710;2015JJ00;;;;;;;;
6183;GM0683;2015JJ00;;;;;;;;
6191;GM0479;2015JJ00;8324;1507;120;19;87;3597;;
6199;GM0297;2015JJ00;8904;431;13;16;24;5958;;
6207;GM0473;2015JJ00;4397;211;14;2;18;10;;1023
6215;GM0707;2015JJ00;7650;176;6;4;0;6469;;
6223;GM0478;2015JJ00;5521;94;0;2;0;3446;1493;
6231;GM0050;2015JJ00;26886;301;10;36;24;17239;;
6239;GM0355;2015JJ00;4865;1036;44;20;234;599;;
6247;GM0298;2015JJ00;;;;;;;;
6255;GM0299;2015JJ00;5800;510;44;14;21;3805;;
6263;GM0878;2015JJ00;;;;;;;;
6271;GM1666;2015JJ00;;;;;;;;
